"life_history","valid","n_stocks","n_collapsed","collapse_rate","auc","optimal_threshold","optimal_sensitivity","optimal_specificity","univ_sensitivity","univ_specificity","univ_ppv"
"Long-lived (M<0.2)",TRUE,104,41,0.394230769230769,0.794037940379404,4.91111111111111,0.731707317073171,0.73015873015873,1,0.301587301587302,0.482352941176471
"Medium (0.2-0.4)",TRUE,72,31,0.430555555555556,0.78756884343037,2.14784523809524,0.806451612903226,0.609756097560976,0.903225806451613,0.414634146341463,0.538461538461538
"Moderate (0.4-0.8)",TRUE,16,11,0.6875,0.854545454545454,2.44756291985996,0.636363636363636,1,0.818181818181818,0.6,0.818181818181818
"Fast turnover (M≥0.8)",TRUE,17,9,0.529411764705882,0.708333333333333,0.454046025641025,0.888888888888889,0.625,0.444444444444444,0.875,0.8
